specialites,formation,nb_candidats_voeu,nb_candidats_admis,nb_candidats_acceptes
"['Arts', 'Sciences de la vie et de la terre']",Licence Sciences de l'éducation,50,26.0,12
"['Arts', ""Sciences de l'ingénieur""]",Licence LEA,2,1.0,0
"['Arts', ""Sciences de l'ingénieur""]",D.E social,0,0.0,0
"['Humanités, Littérature et Philosophie', 'Biologie-Ecologie']","Licence Psychlogie, Sciences cognitives",2,1.0,1
"['Biologie-Ecologie', 'Langues, Littératures et Cultures Etrangères et Régionales']","Licence Sciences de la vie, biologie, santé",1,1.0,0
"['Biologie-Ecologie', 'Mathématiques']","Licence Sociologie, Démographie",16,15.0,1
"['Biologie-Ecologie', 'Mathématiques']",Formations d'ART,11,2.0,1
"['Physique-Chimie', 'Biologie-Ecologie']",Formations d'ART,16,5.0,1
"['Sciences économiques et sociales', 'Biologie-Ecologie']",Licence Formation générale aux métiers de l'ingénieur,0,0.0,0
"['Sciences économiques et sociales', 'Biologie-Ecologie']",Licence Sciences juridiques,1,1.0,0
"['Humanités, Littérature et Philosophie', ""Littératures, langues et culture de l'antiquité""]","Licence Psychlogie, Sciences cognitives",40,21.0,9
"['Humanités, Littérature et Philosophie', 'Mathématiques']","Licence Pluri Sciences de la vie, de la santé, de la terre et de l'univers",5,0.0,0
"['Humanités, Littérature et Philosophie', 'Mathématiques']",CPGE L,311,272.0,170
"['Humanités, Littérature et Philosophie', 'Numérique et Sciences Informatiques']",Licence Pluri Droit - Sciences éco - AES,0,0.0,0
"['Humanités, Littérature et Philosophie', 'Numérique et Sciences Informatiques']",CPGE ECG,0,0.0,0
"['Humanités, Littérature et Philosophie', 'Numérique et Sciences Informatiques']",Ecoles d'Ingénieurs,0,0.0,0
"['Humanités, Littérature et Philosophie', 'Sciences économiques et sociales']",Licence Informatique,12,5.0,3
"['Humanités, Littérature et Philosophie', 'Sciences de la vie et de la terre']",Licence Physique,0,0.0,0
"['Humanités, Littérature et Philosophie', 'Sciences de la vie et de la terre']",Licence Sciences de l'information et de la communication,106,65.0,17
"['Humanités, Littérature et Philosophie', 'Sciences de la vie et de la terre']","Licence Sciences de la vie, biologie, santé",291,152.0,54
"['Arts', ""Littératures, langues et culture de l'antiquité""]","Licence Sciences de la vie, biologie, santé",0,0.0,0
"['Arts', ""Littératures, langues et culture de l'antiquité""]","Licence Sociologie, Démographie",1,1.0,0
"['Arts', 'Physique-Chimie']",D.E sanitaire,14,2.0,1
